Name,Followers,Category,Emails,Links,City,State
John's Fitness Academy,72,fitness studio,johnsgotvision@gmail.com,https://www.facebook.com/johnsfitnessacademy/,Buena Park,CA
CitroLean,1K,fitness studio,Citrolean@gmail.com,https://www.facebook.com/citrolean/,na,california
The Dance Room,603,fitness studio,thedanceroomoc@gmail.com,https://www.facebook.com/thedanceroombp/,Buena Park,CA
Journey Fitness,861,fitness studio,journeyfitness626@gmail.com,https://www.facebook.com/journeyfitnessbp/,Baldwin Park,CA
ZIN Jeanette Bell,20,fitness studio,Jbellzumba@gmail.com,https://www.facebook.com/ZINJeanetteBell/,na,california
CT40 GYM INC,214,fitness studio,ct40gym@gmail.com,https://www.facebook.com/people/CT40-GYM-INC/100076050844486/,Walnut,CA
A-NAT Fitness,73,fitness studio,anafitness@gmail.com,https://www.facebook.com/Anatfitness/,Baldwin Park,CA
Olivia Rose Yoga,na,fitness studio,livytheyogi@gmail.com,https://www.facebook.com/livytheyogi/,Fountain Valley,CA
KPOP Center,334,fitness studio,info.kpopcenter@gmail.com,https://www.facebook.com/kpopcenter.bp/,Buena Park,CA
Buena Park Collaborative,601,fitness studio,bpcollab1@gmail.com,https://www.facebook.com/Buena-Park-Collaborative-2026673120908943/,na,california
