Name,Followers,Category,Emails,Links,City,State
Lelie Boutique,297,CLOTHING BOUTIQUE,thelelieboutique@gmail.com,https://www.facebook.com/lelieboutique/,Torrance,CA
MovEssential Studio Boutique,909,CLOTHING BOUTIQUE,abby.movessential@gmail.com,https://www.facebook.com/MovEssentialStudio/,Carson,CA
Fashion Town,301,CLOTHING BOUTIQUE,FashiontownCali@gmail.com,https://www.facebook.com/profile.php?id=100068266612015,Torrance,CA
Sunni Calli Boutique,98,CLOTHING BOUTIQUE,Sunnicalliboutique@gmail.com,https://www.facebook.com/sunnicalliboutique/,Los Angeles,CA
Teampoly Clothing,na,CLOTHING BOUTIQUE,Alohadesignandtee@gmail.com,https://www.facebook.com/TeamPolyClothing/,Carson,CA
Envie,1K,CLOTHING BOUTIQUE,envieboutiqueca@gmail.com,https://www.facebook.com/MyEnvie/,Visalia,CA
Kristines Clothing,613,CLOTHING BOUTIQUE,Krismadaboutshoes@gmail.com,https://www.facebook.com/profile.php?id=100043285727589,Murphys,CA
Ashley Carson Designs,na,CLOTHING BOUTIQUE,ashleycarsondesigns.shop@gmail.com,https://www.facebook.com/ashleycarsondesigns/,na,california
The little shop,142,CLOTHING BOUTIQUE,taylorsell@gmail.com,https://www.facebook.com/Thelittleshopsb/,Seal Beach,CA
Last Chance Store Torrance,3K,CLOTHING BOUTIQUE,lastchancetorrance@gmail.com,https://www.facebook.com/LASTCHACNETORRANCE/,na,california
Ariela's Boutique,na,CLOTHING BOUTIQUE,arielasboutique@gmail.com,https://www.facebook.com/people/Arielas-Boutique/100066371636584/,Oceanside,CA
MJ and T Co,11,CLOTHING BOUTIQUE,mjandtco@gmail.com,https://www.facebook.com/people/MJ-and-T-Co/100078719988102/,Oceanside,CA
Sassen Boutique,229,CLOTHING BOUTIQUE,sassenbandhs@gmail.com,https://www.facebook.com/sassenboutique/,Oceanside,CA
Get it gal,533,CLOTHING BOUTIQUE,Getitgal.oceanside@gmail.com,https://www.facebook.com/getitgal/,Oceanside,CA
The Jabu Shop,23,CLOTHING BOUTIQUE,shop.jabus@gmail.com,https://www.facebook.com/shop.jabu/,Oceanside,CA
